objectId,tns_classification,tns_redshift,tns_name,ra,dec,tns_classification_mapped,Fink URL
ZTF25aajlhto,,,2025fou,83.95679632,56.96278515,,https://ztf.fink-portal.org/ZTF25aajlhto
ZTF25aatslhl,,,2025new,254.8394003,81.95473346,,https://ztf.fink-portal.org/ZTF25aatslhl
ZTF25aaheqzd,,,2025cro,231.7193476,-17.63790372,,https://ztf.fink-portal.org/ZTF25aaheqzd
ZTF24aaaejlv,,,2024lm,43.68299401,44.14042209,,https://ztf.fink-portal.org/ZTF24aaaejlv
ZTF23abawwbg,,,2023sfw,127.5323446,19.9362841,,https://ztf.fink-portal.org/ZTF23abawwbg
ZTF24abitpxy,,,2024wdn,123.8389142,58.87986247,,https://ztf.fink-portal.org/ZTF24abitpxy
ZTF24aaeggrz,,,2024ccs,48.04727478,23.95160765,,https://ztf.fink-portal.org/ZTF24aaeggrz
ZTF24aagilmu,,,2024diw,113.2159785,38.99872666,,https://ztf.fink-portal.org/ZTF24aagilmu
ZTF25aborakj,,,2025xcc,343.2210393,80.48451842,,https://ztf.fink-portal.org/ZTF25aborakj
ZTF23abhwnlz,,,2023ufz,355.6298321,-24.69246201,,https://ztf.fink-portal.org/ZTF23abhwnlz
ZTF23abffdsc,,,2023tnk,256.9929424,60.63926178,,https://ztf.fink-portal.org/ZTF23abffdsc
ZTF23abcitsv,,,2023skk,20.99901518,21.68553253,,https://ztf.fink-portal.org/ZTF23abcitsv
ZTF23aboeruc,,,2023xex,353.1848852,44.42648422,,https://ztf.fink-portal.org/ZTF23aboeruc
ZTF25aatrxku,,,,332.9571057,-2.21414915,,https://ztf.fink-portal.org/ZTF25aatrxku
ZTF24abckosj,,,,52.81666828,49.88397463,,https://ztf.fink-portal.org/ZTF24abckosj
ZTF24aathdii,,,,55.11986878,37.88784002,,https://ztf.fink-portal.org/ZTF24aathdii
ZTF25aciywrk,,,,84.64739763,54.4916764,,https://ztf.fink-portal.org/ZTF25aciywrk
ZTF23abrralq,,,,297.0745907,48.55227465,,https://ztf.fink-portal.org/ZTF23abrralq
ZTF25aakowne,,,,327.1831012,7.8098252,,https://ztf.fink-portal.org/ZTF25aakowne
ZTF25abbmzes,,,,308.7295809,-9.422745733,,https://ztf.fink-portal.org/ZTF25abbmzes
ZTF25aalmtxa,,,,337.5790388,29.151831,,https://ztf.fink-portal.org/ZTF25aalmtxa
ZTF25aaztrqi,,,,310.7044105,61.03144033,,https://ztf.fink-portal.org/ZTF25aaztrqi
ZTF25aalmizq,,,,259.0339954,18.6534472,,https://ztf.fink-portal.org/ZTF25aalmizq
ZTF25aazwgub,,,,52.0838564,24.99690398,,https://ztf.fink-portal.org/ZTF25aazwgub
ZTF25aatrxkn,,,,333.1171028,-2.4538236,,https://ztf.fink-portal.org/ZTF25aatrxkn
ZTF23aazsirz,,,,69.39776748,79.04522442,,https://ztf.fink-portal.org/ZTF23aazsirz
ZTF25aancolq,,,,269.5356633,11.60356493,,https://ztf.fink-portal.org/ZTF25aancolq
ZTF25abuovaz,,,,117.3804747,-0.005708033333,,https://ztf.fink-portal.org/ZTF25abuovaz
ZTF25aaktzja,,,,203.6599094,-24.3644743,,https://ztf.fink-portal.org/ZTF25aaktzja
ZTF24abqtafy,,,,312.1148942,-26.87561282,,https://ztf.fink-portal.org/ZTF24abqtafy
