objectId,ra,dec,redshift,name,idx,best_cat,best_cat_release,query_time,smallcone_posterior,missedcat_posterior,extra_cat_cols,host_objID,host_name,host_total_posterior,host_ra,host_dec,host_redshift_mean,host_redshift_std,host_redshift_info,host_redshift_posterior,host_absmag_mean,host_absmag_std,host_absmag_info,host_absmag_posterior,host_offset_mean,host_offset_std,host_offset_info,host_offset_posterior,host_frac_offset_mean,host_frac_offset_std,any_posterior,none_posterior,host_2_objID,host_2_name,host_2_total_posterior,host_2_ra,host_2_dec,host_2_redshift_mean,host_2_redshift_std,host_2_redshift_info,host_2_redshift_posterior,host_2_absmag_mean,host_2_absmag_std,host_2_absmag_info,host_2_absmag_posterior,host_2_offset_mean,host_2_offset_std,host_2_offset_info,host_2_offset_posterior,host_2_frac_offset_mean,host_2_frac_offset_std
ZTF25acghoni,352.39492609999996,-2.8179386833333333,nan,Transient_0,0,decals,dr9,1.8783831596374512,0.0,7.918553091812747e-08,{},9906620471511509,nan,0.999999919300165,352.3950775495064,-2.8179359696291617,0.523066,0.226338,PHOT,23992.72960458554,-20.3955895352056,1.0991635000000002,r,16.718477216663697,0.56082260846739,0.09603586448440622,nan,2248.6089861568116,0.9265579427728409,0.16564529132574954,0.999999919300165,8.06998350116283e-08,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ZTF24aaaldzu,183.54640736666667,-25.1319132,0.24,Transient_0,0,nan,nan,nan,nan,nan,{},nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ZTF24abyvdoe,308.310915975,86.14158117500001,nan,Transient_0,0,panstarrs,dr2,3.1623380184173584,3.195819417701347e-14,3.195819417701347e-14,{},211373082782001061,nan,0.6101232552511651,308.2765643338709,86.14200550326294,0.0,0.0,nan,0.0,0.0,0.0,nan,0.0,8.46163467705409,0.019151501529414913,nan,0.6101232552511651,3.356516940906878,0.16023647433919894,0.9999999999999041,9.58745825310404e-14,211363082522394056,nan,0.38987674474874534,308.2528672219463,86.1360286653486,0.0,0.0,nan,0.0,0.0,0.0,nan,0.0,24.443586977603196,0.08243491622722462,nan,0.38987674474874534,3.784810973537915,0.19203072324023765
ZTF25aabsnxe,236.6196644714286,23.0098522,nan,Transient_0,0,panstarrs,dr2,2.6281261444091797,8.461978459523451e-16,8.461978459523451e-16,{},135612366196752469,nan,0.9654821612038524,236.6197121699903,23.009877174022165,0.0,0.0,nan,0.0,0.0,0.0,nan,0.0,0.20967730040488722,0.08446340372103216,nan,0.9654821612038524,0.11359617062297994,0.046291143547326344,0.9999999999999974,2.5385935378570355e-15,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ZTF24abzkvev,156.72752242500002,48.867151125,nan,Transient_0,0,decals,dr9,1.7943480014801025,0.0,3.0708910028190977e-06,{},9907737261639359,nan,0.9999968632011058,156.72753287996872,48.867176348918626,0.468672,0.150884,PHOT,7700.882896076046,-20.526881538729018,1.07830545,r,5.427382830551634,0.1368605979066654,0.07559943509884358,nan,1741.47753693762,0.2756741779383045,0.1772871980812576,0.9999968632011058,3.1367988941885535e-06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ZTF25aallgyu,205.6316262,-17.8604033,nan,Transient_0,0,panstarrs,dr2,2.2313249111175537,3.366018282483105e-14,3.366018282483105e-14,{},86562056311659946,nan,0.9999999999998979,205.63111259276388,-17.858718383412256,0.0,0.0,nan,0.0,0.0,0.0,nan,0.0,6.317432092978059,0.09981914984176705,nan,0.9999999999998979,2.9470318515679454,0.20545780074305,0.999999999999899,1.0098054847449314e-13,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ZTF25aaheozr,255.24783718,0.35867228,nan,Transient_0,0,nan,nan,nan,nan,nan,{},nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ZTF24abrophb,165.2642339666667,57.786578133333336,0.0479050018,Transient_0,0,decals,dr9,1.8749759197235107,0.0,1.573173286591144e-05,{},9907739302692545,nan,0.9999842682670718,165.2521937494789,57.784131895315326,0.047843,0.00239215,SPEC,46561.338173986165,-22.614669340677175,0.7010392000000001,r,1.1128790823248114,24.728209502353945,0.0605583136791169,nan,1.1296115749259812,3.349481501712185,0.018043103461878904,0.9999842682670718,1.5731732928249547e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ZTF24aayyqub,51.08849556363637,14.135613127272729,0.06,Transient_0,0,panstarrs,dr2,2.2061851024627686,6.829740094391723e-15,6.829740094391723e-15,{},124950510876418354,nan,0.8066647283214274,51.087604637486294,14.131546734764797,0.0,0.0,nan,0.0,0.0,0.0,nan,0.0,14.966976563350828,0.09513334723030588,nan,0.8066647283214274,1.700077615663188,0.11972769822005261,0.9999999999999795,2.048922028317517e-14,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ZTF25abzyzac,2.19775059,-9.594502506666666,0.19,Transient_0,0,decals,dr9,2.327009916305542,0.0,0.023116159772829187,{},9906617845944314,nan,0.9768838401841242,2.1977644729056083,-9.594520730885892,0.901889,0.4509445,PHOT,10689.745588181322,-20.672519332304912,1.15753735,r,114.39802199807764,0.13970694398075156,0.07290645911352268,nan,28479.99587586923,0.5533182724682981,0.2915332110698318,0.9768838401841242,0.023116159815875725,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ZTF25abxebsb,123.04116755833331,-19.09952003333333,nan,Transient_0,0,panstarrs,dr2,3.3900160789489746,1.1931616597636796e-13,1.1931616597636796e-13,{},85071230425529037,nan,0.9999999999996421,123.04255524927729,-19.10118286074679,0.0,0.0,nan,0.0,0.0,0.0,nan,0.0,7.624520636344212,0.09917904378509995,nan,0.9999999999996421,4.134152525221822,0.2099592383091006,0.9999999999996421,3.579484979291039e-13,85071230275807887,nan,0.0,123.0275754772655,-19.10208408674671,0.0,0.0,nan,0.0,0.0,0.0,nan,0.0,47.15178724374656,0.09679647782246342,nan,0.0,24.615877045039362,1.2955244193213378
ZTF25aaidgmi,88.33544583333334,67.42005367777777,nan,Transient_0,0,panstarrs,dr2,2.7851288318634033,1.6928401074304504e-14,1.6928401074304504e-14,{},188900883376293397,nan,0.9999999999999485,88.33796193219055,67.4188155179257,0.0,0.0,nan,0.0,0.0,0.0,nan,0.0,5.653148354896945,0.08152099722637315,nan,0.9999999999999485,2.3219864687837246,0.13475088444569347,0.9999999999999493,5.078520322291351e-14,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ZTF24abszjmr,145.43348799999998,44.24272605333333,0.1,Transient_0,0,decals,dr9,1.7522921562194824,0.0,0.050967314263831165,{},9907736086252377,nan,0.9490326853501577,145.43338039454625,44.242662115276545,0.92052,0.354806,PHOT,14425.14774753795,-20.855940864131387,1.15110625,r,611.6972079269751,0.36975001525691087,0.08579936450569403,nan,60237.18098685244,0.9033962019256457,0.21614620805135903,0.9490326853501577,0.050967314649842305,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ZTF25abxfhtz,159.84576928181818,-3.599244509090909,nan,Transient_0,0,panstarrs,dr2,2.347990036010742,5.640248528954173e-14,5.640248528954173e-14,{},103671598440239976,nan,0.5663559222318472,159.8439248,-3.60046002,0.0,0.0,nan,0.0,0.0,0.0,nan,0.0,7.939140956852196,0.0973339580578923,nan,0.5663559222318472,3.973391626468776,0.27347786245210887,0.9999999999998308,1.6920745586862517e-13,103661598516807434,nan,0.4160237679537458,159.85165097444536,-3.610853516811418,0.0,0.0,nan,0.0,0.0,0.0,nan,0.0,46.83098856465508,0.10079884398506626,nan,0.4160237679537458,4.252482438356633,0.21956467637778393
ZTF23absdqly,146.39552210666668,7.1723099,0.051,Transient_0,0,decals,dr9,2.114284038543701,0.0,0.006441056156224929,{},9906624187010113,nan,0.9935589438266299,146.3956209586126,7.172458331595041,0.175208,0.087604,PHOT,234005.73078114836,-17.798074860062794,1.0919426,r,5.239630307712744,0.6518050951248929,0.09935310110954969,nan,7049.628319991437,0.825773236063369,0.16574660234610633,0.9935589438266299,0.0064410561733701235,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ZTF23abcitsv,20.99901518125,21.68553253125,nan,Transient_0,0,nan,nan,nan,nan,nan,{},nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ZTF23absbzov,107.36086537647056,31.0277408,nan,Transient_0,0,decals,dr9,1.7759060859680176,0.0,5.381779181324817e-08,{},9906632601767616,nan,0.9999999461685107,107.36081866686516,31.027765522892068,0.798599,0.3992995,PHOT,10578.633435173124,-20.89426494304877,1.1301812,r,38.38817058837774,0.20156334916187774,0.07948565340935071,nan,6460.692255973736,0.5866518866868761,0.23280624351568555,0.9999999461685107,5.383148923792547e-08,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
