,objectId,ra,dec,redshift,name,idx,best_cat,best_cat_release,query_time,smallcone_posterior,missedcat_posterior,extra_cat_cols,host_objID,host_name,host_total_posterior,host_ra,host_dec,host_redshift_mean,host_redshift_std,host_redshift_info,host_redshift_posterior,host_absmag_mean,host_absmag_std,host_absmag_info,host_absmag_posterior,host_offset_mean,host_offset_std,host_offset_info,host_offset_posterior,host_frac_offset_mean,host_frac_offset_std,any_posterior,none_posterior,host_2_objID,host_2_name,host_2_total_posterior,host_2_ra,host_2_dec,host_2_redshift_mean,host_2_redshift_std,host_2_redshift_info,host_2_redshift_posterior,host_2_absmag_mean,host_2_absmag_std,host_2_absmag_info,host_2_absmag_posterior,host_2_offset_mean,host_2_offset_std,host_2_offset_info,host_2_offset_posterior,host_2_frac_offset_mean,host_2_frac_offset_std
155,ZTF23abhyvva,88.18944502903226,65.7249690548387,,Transient_0,0,panstarrs,dr2,34.37795305252075,6.194271451089522e-14,6.194271451089522e-14,{},186870881833071047,,0.9999999999998141,88.18331461212674,65.7252526953879,0.0,0.0,,0.0,0.0,0.0,,0.0,9.131884965871803,0.04243151227522341,,0.9999999999998141,3.514574356473258,0.17492199649070986,0.9999999999998141,1.8582814353268562e-13,186950880826875188,,0.0,88.08267420527692,65.79536299238204,0.0,0.0,,0.0,0.0,0.0,,0.0,298.5334714908988,0.09177505741555338,,0.0,101.16568069416678,5.118972667022824
156,ZTF23abbakmt,310.5529541,-12.88078948,0.101,Transient_0,0,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,ZTF24aadlpxv,66.403459125,13.844395325,,Transient_0,0,panstarrs,dr2,21.303323984146118,3.44090597023016e-14,3.44090597023016e-14,{},124610664030451939,,0.9999999999998967,66.40309389917972,13.842776731312822,0.0,0.0,,0.0,0.0,0.0,,0.0,5.964916046450775,0.10091596197070411,,0.9999999999998967,2.969320547983918,0.15670510740040144,0.9999999999998967,1.032271791069048e-13,,,,,,,,,,,,,,,,,,,
158,ZTF24absazmk,74.10902749523811,70.67757293809524,,Transient_0,0,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,ZTF24abstpyc,350.47396716500003,41.381547255,,Transient_0,0,panstarrs,dr2,34.35599112510681,1.610678359613013e-14,1.610678359613013e-14,{},157653504763134974,,0.8582516924189909,350.47630629051065,41.37859619046654,0.0,0.0,,0.0,0.0,0.0,,0.0,12.360496928856142,0.09359569217184822,,0.8582516924189909,2.4101461129283974,0.12639528471065092,0.9999999999999517,4.832035078839039e-14,157653505333011358,,0.0,350.5332995329886,41.37560119734163,0.0,0.0,,0.0,0.0,0.0,,0.0,161.69483871738606,0.07711908295768373,,0.0,69.0139734996089,4.869714163185698
160,ZTF25abjnifk,333.473760215,30.261681527499995,,Transient_0,0,panstarrs,dr2,23.47689414024353,1.1431396950557079e-13,1.1431396950557079e-13,{},144313334733747114,,0.9999999999995552,333.47339598,30.2637969,0.0,0.0,,,0.0,0.0,,0.0,7.702457940992787,0.09763619583811461,,0.9999999999995552,4.2127633597268765,0.2615214740172656,0.999999999999657,3.429419085167123e-13,144313334703226853,,0.0,333.4703308496384,30.263544187426294,0.0,0.0,,,0.0,0.0,,0.0,12.59471627310862,0.09041087257718204,,0.0,5.161249453179002,0.2815526490209068
161,ZTF24abtmueg,17.737602765,42.20150315,0.109,Transient_0,0,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,ZTF23aazdoyl,307.76071506999995,-4.7559937,0.1832,Transient_0,0,decals,dr9,1.729555368423462,0.0,0.0009565719517773255,{},9906619705791335,,0.9990434280456877,307.760790777219,-4.756006990692764,0.268268,0.134134,PHOT,33815.368337639135,-19.454375280590455,1.0611166,r,2.3417952962352864,0.29371598354810974,0.09882341336781172,,1290.439109438209,0.4657675224149659,0.18934685357464467,0.9990434280456877,0.0009565719543123132,,,,,,,,,,,,,,,,,,,
163,ZTF24aaoihda,253.6541976090909,5.418149336363637,,Transient_0,0,decals,dr9,1.792297124862671,0.0,4.484087539193552e-06,{},9906623557930162,,0.981607207968615,253.65479369557625,5.419159773705075,0.543695,0.052668,PHOT,22799.718331117558,-21.865785491768303,1.03071395,r,407.5805097898008,4.21745740096674,0.09922409992427261,,1184.3789660456255,2.9376731400644696,0.08747230055872982,0.9999955159109202,4.484089079927616e-06,9906623557930141,,8.635395276518027e-24,253.65416725350917,5.41849017737918,0.147515,0.026952,PHOT,3.471755481116593e-19,-20.032343363443143,0.9596987000000001,r,67.78440148456596,1.2338378943102588,0.09900467753055762,,13432.261084108764,0.8075759083174932,0.07012559212325956
164,ZTF24aafaamo,212.81959811428567,26.33748432857143,,Transient_0,0,panstarrs,dr2,19.749506950378418,1.0710199789074407e-15,1.0710199789074407e-15,{},139602128196985540,,0.9849979828458341,212.8197585893269,26.337515418331662,0.0,0.0,,0.0,0.0,0.0,,0.0,0.5433918593187218,0.08735932566420969,,0.9849979828458341,0.19094716994691815,0.03210074268705362,0.9999999999999968,3.2130599367223218e-15,,,,,,,,,,,,,,,,,,,
