objectId,tns_classification,tns_redshift,tns_name,ra,dec,tns_classification_mapped
ZTF25aanijcp,,,2025hld,120.95572818,-2.9800530399999996,
ZTF24abyiwzh,,,2024aenw,79.2837173875,-14.9795294125,
ZTF25aajlhto,,,2025fou,83.95679631666665,56.962785149999995,
ZTF25aajjioo,,,2025fem,107.12153565,14.20626999,
ZTF25aatslhl,,,2025new,254.83940027894735,81.9547334631579,
ZTF25aahweqd,,,2025cvt,91.88615473809524,44.10335124285715,
ZTF25aaxvfnf,,,2025psv,229.57814316666668,-26.264871966666664,
ZTF25aanjqgf,,,2025ibi,192.5225794,-12.357984354545454,
ZTF25aaqbsio,,,2025klq,250.50564071666668,-0.2586139999999999,
ZTF25aaheqzd,,,2025cro,231.71934762,-17.63790372,
ZTF23aboelln,,,2023xvv,329.1096162000001,37.909295506666666,
ZTF23abilisu,,,2023ufm,3.99520498,-1.03150226,
ZTF23abvttdd,,,2023acjx,47.439179625,41.00736415,
ZTF24aaaejlv,,,2024lm,43.68299401428572,44.140422085714285,
ZTF23abawwbg,,,2023sfw,127.53234456764706,19.936284097058824,
ZTF23abnoapt,,,2023wue,102.91919962857143,48.07801650476191,
ZTF24absazmk,,,2024aaxx,74.10902749523811,70.67757293809524,
ZTF24aajwajo,,,2024gro,200.3733310875,-10.3994896125,
ZTF24abitpxy,,,2024wdn,123.83891422142858,58.879862471428574,
ZTF24aaeggrz,,,2024ccs,48.047274783333336,23.95160765,
ZTF23aazfosr,,,2023quw,59.84700205833334,32.2376353,
ZTF24aagilmu,,,2024diw,113.21597851764706,38.99872665882353,
ZTF23aavyfyn,,,2023otk,3.8510054758620686,47.58579755517241,
ZTF25aborakj,,,2025xcc,343.22103934,80.48451842,
ZTF23abhwnlz,,,2023ufz,355.6298321375,-24.6924620125,
ZTF24aaekbpi,,,2024cpc,234.9609152,17.807821775,
ZTF23abscpbm,,,2023zui,113.76744981875,69.86668746875,
ZTF23abffdsc,,,2023tnk,256.99294236190474,60.63926177619047,
ZTF23abawrhc,,,2023rml,118.48143995833333,30.73486190833333,
ZTF23aboqpgn,,,2023xet,32.999980185714286,49.429160828571426,
ZTF23abcitsv,,,2023skk,20.99901518125,21.68553253125,
ZTF23aboeruc,,,2023xex,353.18488523999997,44.42648422,
ZTF25abbmzer,,,,308.0946888666667,-9.261453733333331,
ZTF25aatrxku,,,,332.9571057,-2.21414915,
ZTF25abpwqyf,,,,122.99769431304344,8.736444439130434,
ZTF25aalmvvv,,,,336.2097692,28.8852998,
ZTF25aalmksm,,,,256.2795585,18.3744653,
ZTF25aakuauo,,,,205.9389256,-16.2208984,
ZTF25acgqqnr,,,,111.24819047777775,5.004877188888889,
ZTF24abckosj,,,,52.816668283333335,49.88397463333334,
ZTF25aatrxkp,,,,332.91323435000004,-1.8487631,
ZTF24aathdii,,,,55.119868777777775,37.88784002222222,
ZTF24abyhmnl,,,,221.06307991875,-20.33747743125,
ZTF25aciywrk,,,,84.647397625,54.4916764,
ZTF23abrralq,,,,297.07459070000004,48.55227465,
ZTF25aakowne,,,,327.1831012,7.8098252,
ZTF25abbmzes,,,,308.72958093333335,-9.422745733333333,
ZTF24aatyjkk,,,,351.24081330000007,-5.913350933333333,
ZTF25aalmtxa,,,,337.5790388,29.151831,
ZTF25aalmizt,,,,259.6652249,18.2779183,
ZTF25aalmjrl,,,,259.558232,19.4442663,
ZTF25abmniua,,,,34.87196231666667,78.78075545,
ZTF25aaztrqi,,,,310.7044104666666,61.031440333333336,
ZTF25aceinhd,,,,36.768531243999995,55.370837148,
ZTF25aalmizq,,,,259.0339954,18.6534472,
ZTF25aazwgub,,,,52.0838564,24.996903975,
ZTF25aatrxkn,,,,333.1171028,-2.4538236,
ZTF24aadosgv,,,,95.42054275,4.764511675,
ZTF23aazsirz,,,,69.39776748,79.04522442,
ZTF25aancolq,,,,269.53566334285716,11.603564928571428,
ZTF25aawnezc,,,,331.8509866,-2.7585248,
ZTF24abhront,,,,224.9855843,62.5111022,
ZTF25abuovaz,,,,117.38047466666669,-0.0057080333333332,
ZTF24aboxrnx,,,,33.868800275,57.87958485,
ZTF25aaktzja,,,,203.6599094,-24.3644743,
ZTF24abqtafy,,,,312.11489424999996,-26.87561281666667,
